time	subjects	deaths
1	4538	8
3	7449	24
5	9742	47
7	13756	80
9	25640	127
11	64537	241
13	187596	518
15	502377	1335
17	1026722	3168
19	1581375	6394
21	2011964	10846
23	2246429	16189
25	2278997	21885
27	2169918	27308
29	1985887	32467
31	1772464	37165
33	1560379	41417
35	1364350	45113
37	1189153	48388
39	1038897	51122
41	912979	53576
43	812122	55756
45	735304	57682
47	681715	59471
49	651730	61084
51	643348	62743
56	706662	66986
61	830290	71756
66	913835	77388
71	893108	83135
76	786155	88472
81	641685	93042
86	497594	96584
91	373663	99271
96	274976	101306
101	200939	102755
121	61690	105667
141	31660	106750
161	28654	107531
181	31235	108269
201	31401	109077
221	29342	109782
241	25272	110474
261	21448	111068
281	18684	111552
301	15529	111994
321	12983	112329
341	10420	112632
361	8765	112885
381	7316	113090
401	6091	113262
421	5185	113414
441	4618	113529
461	3978	113629
481	3229	113706
501	2686	113776
521	2235	113841
541	1727	113884
561	1363	113913
581	1080	113950
