time	subjects	deaths
1	4468	4
3	6692	22
5	7397	41
7	7263	58
9	6892	74
11	6361	95
13	5723	110
15	5154	119
17	4622	135
19	4188	143
21	3811	149
23	3546	151
25	3406	162
27	3301	167
29	3279	173
31	3392	180
33	3510	188
35	3810	197
37	4158	207
39	4579	222
41	5259	236
43	6049	245
45	7013	263
47	8153	280
49	9640	301
51	11294	325
56	17442	425
61	27670	567
66	43097	789
71	65019	1105
76	94668	1578
81	131025	2280
86	169362	3245
91	204235	4462
96	228861	5714
101	239789	7222
121	195880	12863
141	142199	17008
161	121336	20254
181	109531	23074
201	89274	25536
221	64133	27385
241	41616	28678
261	25394	29485
281	15610	30009
301	9145	30325
321	5564	30526
341	3147	30637
361	1854	30683
381	1018	30720
401	538	30733
421	313	30750
441	201	30755
461	131	30760
481	71	30761
501	51	30762
521	21	30764
541	5	30764
561	3	30764
581	0	30764
