time	subjects	deaths
1	7694	4
3	102163	93
5	1234549	1236
7	7519594	10810
9	16740054	41820
11	21313586	90151
13	21866073	144728
15	20496937	197577
17	18373857	246494
19	16072419	289900
21	13867404	327470
23	11862688	359471
25	10097060	386783
27	8566811	410199
29	7256291	429936
31	6137915	446624
33	5188455	460833
35	4384756	472751
37	3705797	482873
39	3128997	491399
41	2642044	498591
43	2231605	504684
45	1883888	509870
47	1591273	514262
49	1343717	517977
51	1134181	521010
56	743665	526799
61	487263	530506
66	319667	533019
71	209357	534717
76	137117	535773
81	89742	536501
86	58903	536913
91	38629	537196
96	25254	537406
101	16570	537531
121	3139	537738
141	581	537788
161	109	537796
181	16	537801
201	1	537802
221	0	537802
241	0	537802
261	0	537802
281	0	537802
301	0	537802
321	0	537802
341	0	537802
361	0	537802
381	0	537802
401	0	537802
421	0	537802
441	0	537802
461	0	537802
481	0	537802
501	0	537802
521	0	537802
541	0	537802
561	0	537802
581	0	537802
