time	subjects	deaths
1	6095	4
3	36409	52
5	210969	306
7	1123145	1710
9	4431663	7925
11	10532756	26414
13	16067191	60240
15	18685677	104184
17	18841192	151284
19	17671603	196816
21	15947451	238784
23	14078185	276381
25	12268157	309548
27	10606264	338237
29	9126146	362572
31	7829667	383842
33	6707228	401991
35	5739405	417625
37	4910502	430895
39	4200307	442295
41	3593774	452054
43	3075130	460534
45	2635328	467614
47	2259019	473697
49	1937426	478964
51	1662791	483487
56	1138240	492311
61	781420	498252
66	539227	502307
71	373349	505070
76	259141	507016
81	180475	508430
86	125988	509334
91	87999	510016
96	61875	510485
101	43598	510821
121	11129	511434
141	2945	511587
161	754	511631
181	200	511642
201	59	511646
221	14	511648
241	2	511648
261	1	511648
281	0	511648
301	0	511648
321	0	511648
341	0	511648
361	0	511648
381	0	511648
401	0	511648
421	0	511648
441	0	511648
461	0	511648
481	0	511648
501	0	511648
521	0	511648
541	0	511648
561	0	511648
581	0	511648
