time	subjects	deaths
1	5388	0
3	20324	29
5	69226	120
7	231298	463
9	750071	1586
11	2230343	4968
13	5526693	14176
15	10576108	33895
17	15615197	66805
19	18819107	110105
21	19735534	158636
23	18978950	207443
25	17342951	253197
27	15374131	294314
29	13383244	330252
31	11523454	361606
33	9850010	388126
35	8384723	410844
37	7116636	430124
39	6031133	446338
41	5105207	460456
43	4318613	472177
45	3653213	482194
47	3087927	490531
49	2609246	497625
51	2204231	503653
56	1446671	514769
61	949013	522136
66	623408	526948
71	408957	530155
76	268517	532209
81	176509	533585
86	115793	534460
91	75970	535039
96	49743	535434
101	32480	535703
121	6144	536139
141	1135	536202
161	194	536214
181	32	536214
201	4	536215
221	1	536215
241	0	536215
261	0	536215
281	0	536215
301	0	536215
321	0	536215
341	0	536215
361	0	536215
381	0	536215
401	0	536215
421	0	536215
441	0	536215
461	0	536215
481	0	536215
501	0	536215
521	0	536215
541	0	536215
561	0	536215
581	0	536215
