time	subjects	deaths
1	6267	4
3	40000	44
5	232267	313
7	1114187	1756
9	3415076	7072
11	6311272	19437
13	8296109	37978
15	9084234	59964
17	9078389	82722
19	8660912	104919
21	8072629	125623
23	7451807	144965
25	6867386	162861
27	6349612	179279
29	5905966	194572
31	5529282	208838
33	5208252	222217
35	4924976	234866
37	4669057	246764
39	4435914	258213
41	4213960	269133
43	4005655	279453
45	3807090	289288
47	3614688	298703
49	3431860	307631
51	3258335	316082
56	2870302	335292
61	2534413	352006
66	2246078	366721
71	1996188	379846
76	1778603	391820
81	1589261	402428
86	1421278	411705
91	1270213	420040
96	1135480	427589
101	1017211	434266
121	651876	455069
141	422921	468552
161	276085	477302
181	180686	482897
201	118296	486556
221	76772	488929
241	50427	490513
261	33078	491487
281	21429	492165
301	14236	492597
321	9531	492910
341	6032	493091
361	4038	493217
381	2603	493317
401	1770	493368
421	1190	493415
441	813	493431
461	558	493446
481	376	493452
501	247	493461
521	195	493468
541	111	493477
561	79	493483
581	51	493485
