time	subjects	deaths
1	13670	3
3	1048259	613
5	11499374	14431
7	19999591	55422
9	22352303	108744
11	21743292	164351
13	19861914	216766
15	17559155	263656
17	15237025	304669
19	13086786	340148
21	11161938	370301
23	9484247	396247
25	8039230	418219
27	6804971	436462
29	5754209	451982
31	4861725	465091
33	4108667	476230
35	3470551	485637
37	2930761	493637
39	2474638	500350
41	2089495	505973
43	1764660	510749
45	1490612	514815
47	1258783	518223
49	1062907	521098
51	897698	523494
56	588676	528047
61	385894	531005
66	252877	533013
71	165602	534265
76	108528	535150
81	70958	535682
86	46640	536024
91	30450	536262
96	19839	536418
101	13090	536510
121	2454	536682
141	446	536722
161	86	536727
181	17	536728
201	4	536728
221	0	536728
241	0	536728
261	0	536728
281	0	536728
301	0	536728
321	0	536728
341	0	536728
361	0	536728
381	0	536728
401	0	536728
421	0	536728
441	0	536728
461	0	536728
481	0	536728
501	0	536728
521	0	536728
541	0	536728
561	0	536728
581	0	536728
