time	subjects	deaths
1	6589	8
3	51098	69
5	370192	462
7	2095878	3006
9	6546586	13386
11	11323748	36112
13	13867767	68130
15	14410149	103869
17	13857386	139250
19	12799117	172586
21	11564785	203019
23	10336234	230304
25	9192075	254747
27	8170285	276232
29	7277195	295528
31	6503808	312844
33	5842706	328326
35	5274623	342290
37	4786953	354931
39	4363371	366416
41	3993561	376893
43	3666546	386178
45	3375421	394907
47	3112634	403070
49	2872729	410602
51	2653702	417603
56	2179277	432695
61	1787177	444961
66	1462721	455123
71	1197302	463626
76	980688	470362
81	804843	475923
86	661839	480546
91	545831	484345
96	451489	487475
101	373628	490120
121	177595	496635
141	85561	499831
161	42182	501403
181	20702	502157
201	9940	502517
221	4709	502721
241	2333	502821
261	1162	502854
281	566	502873
301	290	502888
321	153	502892
341	118	502894
361	49	502898
381	17	502899
401	10	502900
421	1	502900
441	0	502900
461	0	502900
481	0	502900
501	0	502900
521	0	502900
541	0	502900
561	0	502900
581	0	502900
