time	subjects	deaths
1	4536	4
3	8796	16
5	12858	42
7	17237	79
9	22100	138
11	27622	206
13	34123	281
15	41780	377
17	50894	493
19	61891	632
21	75304	809
23	91289	1047
25	110955	1279
27	134270	1580
29	162733	1938
31	196698	2396
33	237350	2967
35	286006	3647
37	343467	4401
39	410643	5350
41	489130	6472
43	580059	7815
45	684688	9346
47	804310	11240
49	938833	13354
51	1089016	15938
56	1527729	23993
61	2032279	35110
66	2550438	49429
71	3016739	66759
76	3373451	86872
81	3584253	108649
86	3634866	131421
91	3538392	153624
96	3322320	175003
101	3022066	194904
121	1690505	253707
141	815215	283751
161	380953	297931
181	176215	304714
201	83189	307808
221	39003	309355
241	18379	310036
261	8586	310360
281	4044	310526
301	1793	310595
321	941	310618
341	459	310634
361	213	310639
381	103	310645
401	46	310647
421	26	310648
441	12	310648
461	1	310648
481	0	310648
501	0	310648
521	0	310648
541	0	310648
561	0	310648
581	0	310648
