time	subjects	deaths
1	4438	2
3	6719	13
5	7665	31
7	7868	48
9	7794	61
11	7629	84
13	7620	107
15	7859	126
17	8571	142
19	9901	167
21	12310	195
23	15900	243
25	21752	292
27	30452	348
29	43022	445
31	60902	570
33	85058	780
35	116917	1015
37	155004	1358
39	197851	1783
41	242711	2319
43	285594	2945
45	324261	3745
47	356528	4642
49	382994	5575
51	402922	6590
56	434118	9231
61	446022	12041
66	442870	14811
71	423422	17522
76	391075	20103
81	352574	22446
86	313316	24517
91	276626	26336
96	243618	27968
101	214609	29370
121	133050	33545
141	85607	36210
161	56206	37936
181	36714	39097
201	24166	39876
221	16327	40377
241	11067	40704
261	7527	40938
281	5120	41115
301	3470	41210
321	2448	41274
341	1802	41321
361	1356	41366
381	1039	41406
401	782	41425
421	577	41446
441	455	41455
461	338	41467
481	272	41475
501	237	41478
521	163	41484
541	127	41491
561	96	41493
581	107	41500
