time	subjects	deaths
1	4911	4
3	12818	25
5	26589	68
7	53548	165
9	105750	347
11	207841	700
13	404137	1444
15	773108	2850
17	1430859	5514
19	2518585	10375
21	4142943	18565
23	6254759	31667
25	8599292	50420
27	10792798	75021
29	12496827	104416
31	13513101	137292
33	13812671	171782
35	13497306	205740
37	12737174	238638
39	11715398	269186
41	10570364	297113
43	9408681	321870
45	8292328	343878
47	7255717	363344
49	6316597	380358
51	5478362	395121
56	3800801	423797
61	2618919	443625
66	1799396	457263
71	1235939	466681
76	850010	473129
81	584988	477567
86	402614	480664
91	278342	482756
96	191773	484237
101	132226	485257
121	30206	486975
141	7087	487387
161	1628	487470
181	365	487484
201	75	487488
221	17	487488
241	4	487488
261	0	487488
281	0	487488
301	0	487488
321	0	487488
341	0	487488
361	0	487488
381	0	487488
401	0	487488
421	0	487488
441	0	487488
461	0	487488
481	0	487488
501	0	487488
521	0	487488
541	0	487488
561	0	487488
581	0	487488
