time	subjects	deaths
1	4459	4
3	7359	22
5	9662	47
7	13669	76
9	24659	123
11	57703	202
13	153540	424
15	366387	1040
17	681629	2332
19	1003243	4388
21	1264079	7252
23	1421725	10723
25	1472102	14403
27	1444143	18103
29	1366463	21549
31	1263994	24901
33	1154245	27889
35	1047483	30621
37	947118	33144
39	857887	35406
41	780115	37448
43	714699	39268
45	661778	41039
47	620199	42620
49	591475	44163
51	573296	45726
56	575483	49336
61	620659	53053
66	669937	57073
71	686047	61321
76	656013	65532
81	594343	69487
86	517755	72954
91	438288	76033
96	364600	78490
101	300980	80562
121	135440	85712
141	64977	88082
161	35530	89244
181	23641	89912
201	19115	90441
221	16758	90905
241	15548	91304
261	13803	91660
281	12304	91976
301	10520	92274
321	8970	92494
341	7777	92691
361	7326	92882
381	7089	93036
401	6518	93206
421	5684	93363
441	5181	93501
461	4597	93623
481	4199	93731
501	3638	93840
521	3498	93934
541	3068	94017
561	2806	94100
581	2482	94167
