time	subjects	deaths
1	4442	4
3	6610	19
5	7394	36
7	7287	57
9	6929	72
11	6435	90
13	5893	106
15	5394	121
17	5002	131
19	4744	149
21	4643	159
23	4693	174
25	4962	184
27	5458	198
29	6188	214
31	7126	233
33	8467	253
35	10325	275
37	12719	309
39	15824	351
41	19699	393
43	24586	443
45	31042	509
47	39120	602
49	49687	690
51	62442	850
56	107767	1408
61	176505	2318
66	262622	3756
71	345214	5732
76	403034	8180
81	423188	10812
86	411391	13385
91	384994	15943
96	354620	18164
101	328197	20358
121	273306	27883
141	200716	33879
161	108608	37697
181	49855	39560
201	21727	40399
221	9085	40763
241	3619	40920
261	1451	40990
281	608	41017
301	276	41028
321	151	41033
341	56	41036
361	32	41036
381	18	41036
401	4	41037
421	2	41037
441	0	41037
461	0	41037
481	0	41037
501	0	41037
521	0	41037
541	0	41037
561	0	41037
581	0	41037
