time	subjects	deaths
1	7437	7
3	92570	93
5	1066423	1112
7	6733776	9429
9	16001140	38219
11	21054232	85366
13	21895288	139584
15	20654098	193029
17	18575709	242113
19	16279499	285863
21	14061186	323631
23	12037924	356082
25	10250006	383984
27	8700054	407695
29	7370181	427761
31	6234980	444538
33	5270465	459061
35	4454730	471249
37	3764985	481413
39	3178927	490062
41	2684146	497433
43	2266521	503512
45	1913322	508734
47	1616416	513106
49	1364683	516955
51	1152009	520024
56	755439	525841
61	494991	529639
66	324576	532084
71	212454	533768
76	139255	534836
81	91341	535528
86	59893	535968
91	39156	536257
96	25698	536448
101	16836	536601
121	3163	536819
141	597	536859
161	106	536863
181	23	536865
201	6	536865
221	1	536865
241	0	536865
261	0	536865
281	0	536865
301	0	536865
321	0	536865
341	0	536865
361	0	536865
381	0	536865
401	0	536865
421	0	536865
441	0	536865
461	0	536865
481	0	536865
501	0	536865
521	0	536865
541	0	536865
561	0	536865
581	0	536865
