time	subjects	deaths
1	5563	8
3	23837	34
5	94223	165
7	361407	676
9	1293358	2535
11	3846118	8448
13	8447213	23655
15	13499618	51250
17	16910917	89922
19	18079339	134421
21	17617422	179318
23	16283453	221807
25	14596903	260492
27	12849269	294589
29	11182320	324597
31	9664680	350688
33	8319385	372898
35	7138494	392244
37	6116370	408764
39	5235856	423069
41	4478148	435161
43	3831479	445589
45	3278369	454498
47	2804218	462107
49	2401130	468757
51	2056083	474365
56	1398141	485199
61	954658	492478
66	653099	497351
71	448217	500744
76	308814	503094
81	212088	504704
86	146525	505765
91	101523	506555
96	70607	507098
101	48995	507432
121	11529	508058
141	2748	508211
161	673	508250
181	172	508257
201	38	508257
221	12	508257
241	4	508257
261	0	508257
281	0	508257
301	0	508257
321	0	508257
341	0	508257
361	0	508257
381	0	508257
401	0	508257
421	0	508257
441	0	508257
461	0	508257
481	0	508257
501	0	508257
521	0	508257
541	0	508257
561	0	508257
581	0	508257
