time	subjects	deaths
1	4509	5
3	7921	30
5	10553	42
7	12742	76
9	14590	101
11	16214	157
13	17772	204
15	19364	247
17	20825	302
19	22413	344
21	23979	390
23	25427	447
25	27188	515
27	29038	595
29	30791	675
31	32622	743
33	34610	832
35	36863	918
37	39095	1002
39	41546	1094
41	43929	1199
43	46720	1304
45	49585	1406
47	52782	1530
49	56133	1651
51	59349	1801
56	68608	2172
61	79467	2640
66	91644	3162
71	106242	3735
76	122795	4427
81	140551	5263
86	161677	6177
91	184173	7224
96	209212	8452
101	237534	9885
121	372388	17460
141	532390	28932
161	688127	44332
181	797269	63092
201	836111	84033
221	791475	104652
241	681782	123020
261	541703	138279
281	395362	150162
301	273575	158521
321	178777	164119
341	113796	167732
361	70997	169887
381	44153	171301
401	26802	172161
421	16385	172699
441	9692	173013
461	6250	173178
481	3688	173303
501	2280	173386
521	1343	173436
541	842	173469
561	493	173482
581	241	173493
