time	subjects	deaths
1	4377	5
3	6814	21
5	7813	41
7	8353	57
9	8725	68
11	9404	90
13	10922	115
15	13934	139
17	19541	173
19	29711	246
21	47605	347
23	78452	491
25	128014	766
27	202511	1184
29	301751	1844
31	419015	2683
33	537400	3899
35	645336	5393
37	734603	7130
39	804635	9088
41	857919	11136
43	894123	13403
45	914660	15642
47	917667	17972
49	903581	20300
51	875630	22504
56	763179	27738
61	626296	32078
66	499219	35574
71	392836	38260
76	307678	40456
81	243108	42175
86	193305	43472
91	154753	44584
96	125117	45447
101	101904	46128
121	47359	47909
141	23400	48716
161	11747	49174
181	5826	49375
201	3177	49478
221	1824	49536
241	1154	49579
261	930	49605
281	877	49633
301	917	49657
321	1038	49687
341	1073	49724
361	1170	49752
381	1250	49785
401	1438	49816
421	1633	49850
441	1917	49900
461	2032	49952
481	2007	49997
501	1927	50041
521	2000	50086
541	2342	50159
561	2438	50225
581	2727	50299
