time	subjects	deaths
1	12626	8
3	650709	411
5	5280030	7028
7	9153007	25698
9	10566480	50776
11	10682538	77734
13	10209446	104102
15	9532823	129015
17	8836484	152069
19	8188930	173270
21	7603653	192775
23	7068415	211106
25	6574295	227931
27	6116931	243677
29	5695540	258363
31	5310479	271960
33	4960889	284880
35	4642141	296727
37	4348378	307839
39	4085034	318383
41	3844027	328081
43	3623560	337172
45	3418765	345993
47	3226599	354382
49	3048798	362130
51	2884339	369484
56	2518839	386456
61	2209194	401200
66	1949259	414179
71	1723829	425637
76	1527918	435788
81	1355097	444724
86	1205499	452618
91	1073083	459625
96	955829	465995
101	852681	471611
121	543372	488846
141	349489	499854
161	225177	506889
181	146672	511500
201	96195	514479
221	63036	516489
241	41404	517732
261	26576	518540
281	17693	519094
301	11323	519443
321	7250	519695
341	4732	519850
361	3187	519974
381	1947	520026
401	1186	520065
421	767	520094
441	524	520108
461	357	520117
481	215	520123
501	149	520125
521	87	520128
541	53	520132
561	49	520132
581	19	520133
