time	subjects	deaths
1	4451	6
3	7055	28
5	8588	42
7	9750	69
9	11842	97
11	16280	131
13	25940	177
15	47591	271
17	91468	426
19	170272	752
21	286060	1311
23	418740	2225
25	544008	3412
27	650908	4894
29	731406	6549
31	780872	8485
33	800251	10408
35	794494	12399
37	770373	14360
39	735555	16220
41	695648	17957
43	653439	19581
45	611739	21218
47	572516	22750
49	536145	24114
51	502696	25460
56	434000	28430
61	381372	30884
66	339902	33171
71	306871	35156
76	279055	37017
81	255763	38694
86	236581	40209
91	221742	41664
96	209826	43025
101	201566	44290
121	200158	49128
141	207157	54230
161	178712	59163
181	133849	63019
201	93393	65829
221	64088	67785
241	43735	69171
261	29320	70026
281	19845	70621
301	13051	71017
321	8836	71279
341	5969	71453
361	4112	71563
381	2938	71653
401	1943	71723
421	1292	71760
441	834	71791
461	598	71813
481	381	71822
501	309	71828
521	178	71833
541	129	71835
561	123	71838
581	72	71841
