time	subjects	deaths
1	4395	4
3	7137	16
5	8823	39
7	10678	62
9	13811	85
11	21361	123
13	39013	192
15	79183	323
17	160473	607
19	290235	1168
21	448909	2100
23	601016	3386
25	724922	4944
27	808716	6859
29	850853	8947
31	856951	11053
33	836695	13226
35	800745	15172
37	755942	17082
39	708675	18915
41	661783	20578
43	618086	22104
45	577848	23687
47	541823	25077
49	509721	26353
51	481534	27579
56	424443	30438
61	382459	32941
66	350784	35234
71	326663	37400
76	311525	39384
81	303528	41297
86	302621	43228
91	307177	45214
96	315526	47175
101	322225	49229
121	302473	57300
141	220165	63854
161	146405	68307
181	95757	71228
201	61917	73106
221	40093	74329
241	26433	75143
261	17157	75665
281	11154	76008
301	7335	76254
321	4544	76414
341	3074	76509
361	2215	76576
381	1457	76628
401	960	76670
421	549	76682
441	399	76694
461	279	76703
481	184	76712
501	144	76716
521	94	76718
541	46	76721
561	22	76721
581	5	76721
