time	subjects	deaths
1	4768	3
3	10851	24
5	19546	54
7	33062	116
9	55123	208
11	90663	408
13	147722	713
15	239932	1151
17	387672	1937
19	620269	3221
21	977242	5178
23	1507680	8243
25	2256403	12885
27	3258545	19839
29	4499157	29653
31	5914337	42689
33	7381544	59523
35	8760646	79865
37	9912059	103179
39	10737282	128974
41	11180588	156340
43	11253901	184500
45	10998819	212497
47	10476310	239714
49	9775306	265090
51	8970705	288612
56	6876727	338338
61	5037246	375263
66	3601900	402232
71	2542808	421177
76	1784431	434617
81	1249378	444118
86	874411	450639
91	610609	455316
96	427675	458574
101	299458	460798
121	71966	464671
141	17431	465631
161	4207	465861
181	1017	465919
201	257	465933
221	73	465937
241	17	465937
261	3	465937
281	0	465937
301	0	465937
321	0	465937
341	0	465937
361	0	465937
381	0	465937
401	0	465937
421	0	465937
441	0	465937
461	0	465937
481	0	465937
501	0	465937
521	0	465937
541	0	465937
561	0	465937
581	0	465937
