time	subjects	deaths
1	4588	5
3	9385	21
5	14574	44
7	20752	93
9	28146	144
11	37228	228
13	48978	336
15	63682	467
17	82782	668
19	107204	900
21	138520	1196
23	178260	1608
25	228702	2119
27	292182	2811
29	371478	3663
31	469107	4673
33	587829	6009
35	728729	7659
37	893483	9763
39	1082211	12171
41	1292753	15186
43	1521954	18768
45	1767006	22822
47	2018971	27568
49	2270797	32885
51	2514937	38735
56	3048247	56075
61	3394267	76221
66	3514849	98055
71	3433193	119790
76	3213978	140645
81	2920618	159837
86	2608532	176943
91	2306772	192370
96	2030736	206003
101	1783909	217771
121	1088258	252689
141	687751	274290
161	441482	288217
181	285223	297255
201	187751	303021
221	122319	306890
241	79880	309390
261	52192	311041
281	33416	312086
301	21549	312809
321	13879	313222
341	9099	313500
361	6120	313688
381	4023	313796
401	2591	313896
421	1701	313946
441	1085	313985
461	799	314001
481	500	314018
501	314	314031
521	172	314035
541	109	314037
561	64	314038
581	32	314041
