time	subjects	deaths
1	4572	2
3	8393	20
5	11594	48
7	14265	78
9	16791	122
11	19279	169
13	21462	224
15	23879	287
17	26170	347
19	28566	424
21	31476	490
23	34351	563
25	37497	660
27	41137	764
29	45005	866
31	49438	980
33	54238	1092
35	59140	1247
37	64954	1392
39	70958	1564
41	77633	1741
43	85128	1935
45	92999	2179
47	101605	2409
49	110997	2659
51	121125	2957
56	149795	3775
61	184154	4850
66	224173	6144
71	271113	7734
76	324280	9498
81	384119	11693
86	450930	14319
91	524046	17287
96	599457	20884
101	676940	24923
121	960197	45607
141	1107927	71757
161	1088625	99846
181	941347	125052
201	740377	146266
221	547958	162398
241	390273	174156
261	273027	182353
281	189079	188095
301	131044	192034
321	90295	194697
341	61387	196613
361	42014	197847
381	28756	198660
401	19869	199292
421	13535	199711
441	9062	199966
461	6011	200123
481	4018	200252
501	2679	200327
521	1561	200381
541	1164	200412
561	773	200431
581	553	200447
