time	subjects	deaths
1	4468	2
3	6683	18
5	7438	33
7	7540	54
9	7310	75
11	6910	86
13	6443	101
15	6157	110
17	6109	126
19	6240	144
21	6667	166
23	7525	182
25	8920	202
27	10849	222
29	13706	254
31	17691	282
33	23372	335
35	31118	396
37	41279	471
39	54448	574
41	70800	725
43	90394	924
45	113357	1199
47	138895	1526
49	165774	1872
51	192356	2321
56	251340	3659
61	286951	5375
66	302950	7240
71	308588	9131
76	310763	11067
81	312066	13033
86	310605	15004
91	304702	16929
96	292971	18771
101	275603	20512
121	187474	26326
141	118463	30083
161	76026	32481
181	49341	34070
201	32159	35013
221	20712	35680
241	13375	36118
261	8846	36410
281	5762	36606
301	3835	36737
321	2450	36825
341	1594	36876
361	1076	36911
381	796	36938
401	614	36955
421	386	36969
441	221	36972
461	141	36976
481	69	36978
501	47	36980
521	23	36980
541	20	36981
561	9	36981
581	14	36981
