time	subjects	deaths
1	4396	3
3	7777	19
5	10125	42
7	11740	77
9	12868	105
11	13695	135
13	14170	170
15	14586	206
17	14752	249
19	14865	287
21	14954	322
23	14964	359
25	14954	392
27	14864	423
29	14794	461
31	14716	503
33	14650	540
35	14516	571
37	14572	615
39	14568	655
41	14521	691
43	14427	728
45	14363	764
47	14456	791
49	14493	830
51	14454	870
56	14511	948
61	14420	1034
66	14601	1118
71	14686	1203
76	14911	1293
81	14949	1375
86	15108	1489
91	15181	1591
96	15229	1692
101	15362	1795
121	15247	2168
141	15745	2537
161	16579	2908
181	16724	3312
201	16930	3727
221	17044	4141
241	16984	4562
261	17117	4999
281	16915	5384
301	16419	5817
321	16321	6271
341	16360	6660
361	16317	7050
381	16055	7454
401	15494	7836
421	14822	8222
441	14529	8598
461	14377	8933
481	13854	9312
501	13832	9689
521	13352	10022
541	12689	10347
561	12113	10659
581	12046	10944
