time	subjects	deaths
1	4498	4
3	7424	19
5	9912	41
7	14677	72
9	28460	126
11	71148	238
13	197526	555
15	491393	1341
17	940220	3118
19	1395129	6004
21	1753006	10014
23	1958202	14713
25	2006053	19746
27	1934280	24733
29	1792164	29427
31	1621103	33864
33	1444804	37756
35	1276284	41188
37	1121917	44154
39	985978	46696
41	868182	48994
43	769006	50973
45	688237	52840
47	625322	54422
49	579189	55924
51	549050	57367
56	543609	60655
61	613595	64162
66	708486	68144
71	763506	72887
76	742910	77734
81	663203	81985
86	553093	85777
91	440877	88949
96	342049	91343
101	260912	93195
121	83946	97084
141	31280	98363
161	18539	98954
181	16733	99379
201	17947	99836
221	19119	100279
241	18198	100782
261	16717	101219
281	15308	101625
301	13063	101964
321	11225	102272
341	9891	102495
361	8218	102739
381	7357	102917
401	6524	103091
421	6049	103237
441	5177	103404
461	4049	103528
481	3452	103622
501	2820	103717
521	2326	103782
541	1961	103820
561	1614	103860
581	1228	103896
