time	subjects	deaths
1	4555	7
3	8006	27
5	10801	52
7	13143	83
9	15209	113
11	17180	147
13	19197	176
15	21096	217
17	23049	261
19	25022	316
21	27012	386
23	29028	463
25	31307	539
27	33809	628
29	36308	712
31	39128	786
33	42126	891
35	45179	994
37	48534	1113
39	52470	1218
41	56598	1348
43	60836	1492
45	65734	1658
47	70873	1831
49	76492	2014
51	82642	2222
56	98889	2761
61	118709	3419
66	141798	4242
71	168485	5152
76	198556	6261
81	233028	7662
86	272400	9250
91	315906	11089
96	365303	13165
101	418147	15594
121	662177	28944
141	897082	48703
161	1033078	73265
181	1023166	99092
201	897723	123417
221	714337	143653
241	530081	159237
261	369038	170463
281	246709	178090
301	159969	183150
321	101837	186408
341	63104	188494
361	38682	189802
381	24015	190556
401	14648	191005
421	8873	191289
441	5272	191474
461	3298	191585
481	2049	191644
501	1314	191696
521	818	191718
541	498	191732
561	268	191741
581	135	191746
