time	subjects	deaths
1	27313	11
3	4065119	2663
5	12716337	24631
7	16130237	61585
9	16680856	103072
11	15904854	143649
13	14586012	181665
15	13138031	216387
17	11741625	247561
19	10468810	275133
21	9333376	299818
23	8328916	321989
25	7437186	341971
27	6645199	359571
29	5944161	375416
31	5321488	389610
33	4770902	402357
35	4283576	413742
37	3852804	423871
39	3470619	432914
41	3132070	441073
43	2829666	448531
45	2562007	455269
47	2321686	461286
49	2109334	466667
51	1918095	471676
56	1521200	482652
61	1217410	491130
66	979547	497938
71	792982	503348
76	644839	507763
81	525966	511330
86	430218	514186
91	352841	516645
96	290219	518629
101	238623	520304
121	113072	524471
141	54339	526487
161	25930	527427
181	12543	527883
201	6115	528121
221	2964	528234
241	1465	528274
261	702	528295
281	342	528311
301	169	528316
321	94	528317
341	45	528320
361	19	528320
381	10	528320
401	3	528320
421	4	528320
441	1	528320
461	0	528320
481	0	528320
501	0	528320
521	0	528320
541	0	528320
561	0	528320
581	0	528320
