time	subjects	deaths
1	7476	5
3	91103	98
5	1027650	1107
7	6213270	8953
9	14404089	34988
11	18946944	77348
13	19856103	126589
15	18915811	174688
17	17193763	219899
19	15230350	260318
21	13293836	295900
23	11503086	327027
25	9900881	353735
27	8497643	376597
29	7278266	396447
31	6230940	413235
33	5333219	427996
35	4565229	440328
37	3911205	450850
39	3352964	459947
41	2876067	467715
43	2469743	474262
45	2122586	479960
47	1825246	484784
49	1571393	489117
51	1355088	492812
56	938953	499965
61	654163	504876
66	459042	508283
71	323260	510728
76	228760	512344
81	163111	513545
86	116517	514435
91	83750	515047
96	60470	515488
101	44010	515816
121	12850	516480
141	3851	516661
161	1164	516728
181	391	516741
201	109	516748
221	36	516750
241	10	516750
261	3	516750
281	1	516750
301	1	516750
321	0	516750
341	0	516750
361	0	516750
381	0	516750
401	0	516750
421	0	516750
441	0	516750
461	0	516750
481	0	516750
501	0	516750
521	0	516750
541	0	516750
561	0	516750
581	0	516750
