time	subjects	deaths
1	4713	4
3	9148	31
5	14043	63
7	19659	117
9	26902	172
11	36433	260
13	48674	378
15	64533	511
17	84927	685
19	112272	932
21	148282	1264
23	195397	1699
25	257092	2289
27	336459	3000
29	439362	3965
31	571035	5235
33	739324	6868
35	949129	8980
37	1208946	11701
39	1525002	15165
41	1900585	19401
43	2337385	24671
45	2832307	31130
47	3375628	38899
49	3952933	48150
51	4544974	58745
56	5943098	91545
61	6938485	132097
66	7325855	176834
71	7098498	222453
76	6395052	264730
81	5417167	302114
86	4362702	332596
91	3382898	356647
96	2550987	374965
101	1887098	388757
121	513856	415487
141	133474	422399
161	34395	424180
181	8723	424671
201	2289	424799
221	622	424836
241	148	424842
261	43	424843
281	12	424843
301	2	424843
321	1	424843
341	0	424843
361	0	424843
381	0	424843
401	0	424843
421	0	424843
441	0	424843
461	0	424843
481	0	424843
501	0	424843
521	0	424843
541	0	424843
561	0	424843
581	0	424843
