time	subjects	deaths
1	4405	3
3	7015	16
5	8561	37
7	10073	63
9	12932	88
11	19663	122
13	36107	197
15	75535	324
17	165129	611
19	345810	1245
21	638681	2448
23	992398	4502
25	1321262	7421
27	1574260	11040
29	1729847	15227
31	1781957	19676
33	1744616	24106
35	1644927	28306
37	1509182	32267
39	1359440	35873
41	1209984	39069
43	1067884	41825
45	936908	44260
47	819733	46478
49	715557	48429
51	624288	50074
56	444638	53537
61	319297	55958
66	235815	57590
71	182686	58938
76	153562	59992
81	143408	60897
86	149820	61810
91	169605	62788
96	199902	63964
101	236787	65371
121	332634	72800
141	240258	80163
161	122088	84664
181	54378	86766
201	22707	87667
221	9493	88084
241	4101	88237
261	1778	88299
281	770	88328
301	355	88342
321	157	88346
341	54	88348
361	20	88350
381	8	88353
401	8	88353
421	5	88354
441	4	88354
461	2	88354
481	1	88354
501	0	88354
521	0	88354
541	0	88354
561	0	88354
581	0	88354
