time	subjects	deaths
1	11281	11
3	540694	355
5	8073873	8688
7	18337170	43029
9	22034991	94230
11	22039781	149731
13	20410569	203160
15	18178979	251437
17	15843392	294231
19	13639995	331172
21	11653681	362502
23	9910145	389377
25	8405076	412255
27	7116784	431542
29	6019627	447849
31	5087552	461708
33	4299430	473366
35	3632840	483285
37	3067896	491696
39	2590379	498701
41	2188083	504577
43	1847660	509643
45	1560830	513929
47	1317904	517625
49	1112653	520584
51	940004	523159
56	616572	527951
61	404241	531155
66	264722	533286
71	173467	534667
76	113351	535611
81	74273	536176
86	48622	536547
91	31764	536804
96	20914	536984
101	13765	537106
121	2549	537269
141	503	537305
161	100	537310
181	19	537311
201	4	537311
221	0	537311
241	0	537311
261	0	537311
281	0	537311
301	0	537311
321	0	537311
341	0	537311
361	0	537311
381	0	537311
401	0	537311
421	0	537311
441	0	537311
461	0	537311
481	0	537311
501	0	537311
521	0	537311
541	0	537311
561	0	537311
581	0	537311
