time	subjects	deaths
1	4724	4
3	9813	27
5	15869	57
7	23716	110
9	34436	186
11	49055	290
13	69011	452
15	96848	664
17	135514	939
19	189726	1319
21	264807	1928
23	366717	2702
25	504914	3797
27	687919	5293
29	925610	7327
31	1228044	10038
33	1598772	13534
35	2040728	18100
37	2546785	23882
39	3104872	30872
41	3691774	39274
43	4275349	49203
45	4829956	60519
47	5323251	72914
49	5733550	86749
51	6041888	101326
56	6327838	140433
61	6007820	179013
66	5301756	214452
71	4459150	244957
76	3641020	270122
81	2923916	290705
86	2328051	307383
91	1847884	320484
96	1465102	330775
101	1163386	338866
121	474109	358081
141	202922	366021
161	87811	369496
181	38817	370950
201	17085	371589
221	7535	371855
241	3345	371987
261	1597	372043
281	669	372064
301	279	372078
321	129	372083
341	84	372084
361	29	372087
381	10	372087
401	12	372087
421	2	372087
441	1	372087
461	0	372087
481	0	372087
501	0	372087
521	0	372087
541	0	372087
561	0	372087
581	0	372087
