time	subjects	deaths
1	4447	4
3	7449	24
5	10379	54
7	16899	92
9	38199	149
11	112050	309
13	333921	827
15	777157	2224
17	1307493	4859
19	1755245	8732
21	2021693	13497
23	2094900	18673
25	2027250	23850
27	1880455	28669
29	1700847	33281
31	1518142	37289
33	1346626	40874
35	1193380	44106
37	1063515	46987
39	958851	49482
41	880024	51819
43	828352	54008
45	803757	56021
47	803128	58042
49	823820	60142
51	860446	62235
56	964705	68003
61	991264	74206
66	908595	80220
71	760904	85409
76	602300	89727
81	461622	93013
86	347283	95559
91	260165	97387
96	195628	98814
101	149603	99884
121	72776	102392
141	65208	104037
161	67385	105715
181	61827	107348
201	51379	108758
221	41073	109872
241	31933	110736
261	24391	111428
281	18909	111942
301	14464	112362
321	10603	112689
341	8544	112925
361	6287	113089
381	4386	113237
401	3147	113330
421	2336	113373
441	1719	113423
461	1196	113459
481	882	113484
501	586	113507
521	455	113516
541	250	113526
561	157	113531
581	97	113533
