time	subjects	deaths
1	4414	1
3	6824	23
5	7716	37
7	7969	54
9	7857	72
11	7784	99
13	7999	117
15	8641	139
17	10095	166
19	12489	204
21	16826	230
23	23954	281
25	35550	362
27	53652	461
29	80729	633
31	120264	882
33	175077	1246
35	244764	1802
37	325686	2491
39	411164	3392
41	492455	4553
43	562559	5901
45	619924	7362
47	663431	8934
49	695112	10656
51	717935	12453
56	740406	17009
61	717238	21589
66	650996	25860
71	560304	29615
76	464657	32775
81	376462	35448
86	301027	37569
91	239496	39198
96	190596	40572
101	151234	41646
121	63423	44177
141	29478	45308
161	14765	45859
181	8492	46156
201	5132	46320
221	3461	46427
241	2299	46498
261	1565	46538
281	971	46569
301	548	46590
321	322	46604
341	215	46610
361	176	46614
381	126	46618
401	67	46622
421	43	46623
441	33	46625
461	14	46625
481	7	46626
501	3	46626
521	2	46627
541	2	46627
561	1	46627
581	0	46627
