time	subjects	deaths
1	4496	6
3	7860	16
5	10214	47
7	11925	67
9	13205	96
11	14287	135
13	15215	157
15	15975	203
17	16682	246
19	17243	281
21	17677	329
23	18209	369
25	18607	406
27	19006	448
29	19454	501
31	19678	552
33	20047	595
35	20436	654
37	20820	702
39	21268	749
41	21776	803
43	22104	862
45	22554	921
47	23133	975
49	23440	1018
51	24115	1082
56	25285	1231
61	26680	1428
66	28427	1622
71	29955	1797
76	31366	2007
81	32822	2217
86	34417	2439
91	36456	2649
96	37961	2885
101	39804	3166
121	47947	4313
141	55872	5636
161	65179	7203
181	75671	8969
201	86267	11080
221	95671	13391
241	105342	15858
261	114528	18550
281	121913	21477
301	129767	24607
321	134206	27893
341	138201	31239
361	140225	34810
381	140067	38230
401	136793	41706
421	131844	45078
441	126266	48315
461	120864	51482
481	111684	54365
501	102753	57121
521	93263	59650
541	84893	61890
561	75751	63907
581	67121	65731
