time	subjects	deaths
1	5704	3
3	25013	33
5	103342	178
7	416941	732
9	1552694	2857
11	4716642	9902
13	10319081	28195
15	16134053	61861
17	19629292	107113
19	20410098	157481
21	19425724	207399
23	17599669	254086
25	15504284	295846
27	13436832	331932
29	11531565	363022
31	9835041	389702
33	8357805	412352
35	7085939	431623
37	5998966	447887
39	5074508	461772
41	4290894	473440
43	3627500	483270
45	3063942	491632
47	2588172	498714
49	2186583	504657
51	1846340	509731
56	1210548	519142
61	793818	525319
66	520755	529295
71	341789	531970
76	224239	533728
81	146821	534889
86	96236	535661
91	63089	536160
96	41198	536482
101	27010	536677
121	4987	536969
141	952	537024
161	180	537033
181	26	537034
201	5	537035
221	0	537035
241	0	537035
261	0	537035
281	0	537035
301	0	537035
321	0	537035
341	0	537035
361	0	537035
381	0	537035
401	0	537035
421	0	537035
441	0	537035
461	0	537035
481	0	537035
501	0	537035
521	0	537035
541	0	537035
561	0	537035
581	0	537035
