time	subjects	deaths
1	4450	1
3	6636	18
5	7359	40
7	7328	65
9	6988	79
11	6573	98
13	6125	118
15	5837	129
17	5606	140
19	5444	158
21	5547	169
23	5849	190
25	6478	206
27	7544	225
29	8869	249
31	10960	277
33	13580	314
35	17060	349
37	21586	399
39	27720	460
41	35832	543
43	46149	642
45	59620	760
47	76786	907
49	98266	1113
51	124831	1395
56	213531	2435
61	325500	4063
66	429915	6413
71	491458	9396
76	499209	12486
81	468261	15607
86	420998	18366
91	376093	20898
96	339545	23183
101	316039	25240
121	285430	32639
141	193524	38801
161	89781	42284
181	35141	43685
201	13050	44258
221	4715	44453
241	1635	44539
261	649	44564
281	254	44573
301	87	44578
321	28	44579
341	6	44579
361	1	44580
381	0	44580
401	0	44580
421	0	44580
441	0	44580
461	0	44580
481	0	44580
501	0	44580
521	0	44580
541	0	44580
561	0	44580
581	0	44580
