time	subjects	deaths
1	4464	5
3	6801	32
5	7863	50
7	8221	64
9	8562	83
11	9053	103
13	10067	125
15	12233	151
17	16472	182
19	24228	231
21	37692	299
23	61052	411
25	99648	617
27	161554	936
29	253460	1447
31	377604	2220
33	526556	3300
35	680064	4857
37	818948	6727
39	928971	8924
41	1009670	11324
43	1066065	13907
45	1102946	16737
47	1124213	19503
49	1129616	22321
51	1118415	25104
56	1019688	31783
61	846188	37648
66	656538	42425
71	489763	46100
76	357532	48711
81	257904	50593
86	185324	52008
91	133284	52984
96	96994	53717
101	71295	54220
121	24112	55201
141	10507	55595
161	4997	55790
181	2313	55859
201	1103	55903
221	570	55917
241	334	55931
261	210	55936
281	170	55943
301	88	55944
321	71	55944
341	48	55946
361	46	55947
381	42	55948
401	45	55950
421	45	55951
441	58	55952
461	64	55954
481	49	55955
501	41	55959
521	46	55959
541	23	55959
561	33	55960
581	20	55962
