time	subjects	deaths
1	4509	5
3	7589	26
5	10863	67
7	18710	108
9	46012	186
11	146014	409
13	447350	1093
15	1003434	2842
17	1609191	6093
19	2081980	10734
21	2324792	16339
23	2343201	22126
25	2215550	27782
27	2017636	33010
29	1797595	37834
31	1584646	42085
33	1391649	45732
35	1226107	49064
37	1091225	52024
39	989281	54569
41	920809	56949
43	885381	59154
45	882470	61375
47	908496	63673
49	955402	66064
51	1015342	68584
56	1136006	75405
61	1115930	82598
66	968294	89089
71	769528	94633
76	581016	98781
81	429024	101981
86	315751	104262
91	235853	105999
96	180761	107290
101	144875	108245
121	97069	111086
141	91354	113433
161	81019	115528
181	68416	117416
201	54223	118889
221	41306	120076
241	30901	120975
261	22473	121614
281	15736	122093
301	11021	122434
321	7624	122646
341	5574	122805
361	4143	122962
381	3177	123082
401	2517	123145
421	2237	123201
441	2144	123255
461	1916	123299
481	1869	123350
501	1686	123402
521	1556	123435
541	1558	123474
561	1414	123517
581	1339	123564
