time	subjects	deaths
1	49429	14
3	8825976	6753
5	19169388	43730
7	22345508	96453
9	22102818	152417
11	20355316	205489
13	18078292	253661
15	15726899	296126
17	13529234	333005
19	11551231	364160
21	9820211	390726
23	8326450	413465
25	7048436	432581
27	5961265	448778
29	5037932	462485
31	4257037	473978
33	3596601	483707
35	3037314	491982
37	2564538	499043
39	2165952	504880
41	1828831	509791
43	1544704	513996
45	1304510	517581
47	1101285	520603
49	930115	523114
51	785691	525288
56	514766	529219
61	337623	531873
66	220897	533682
71	144803	534784
76	94949	535500
81	62159	535961
86	40760	536279
91	26613	536507
96	17482	536627
101	11487	536732
121	2189	536883
141	419	536909
161	74	536913
181	13	536914
201	1	536915
221	1	536915
241	0	536915
261	0	536915
281	0	536915
301	0	536915
321	0	536915
341	0	536915
361	0	536915
381	0	536915
401	0	536915
421	0	536915
441	0	536915
461	0	536915
481	0	536915
501	0	536915
521	0	536915
541	0	536915
561	0	536915
581	0	536915
