time	subjects	deaths
1	4752	3
3	10370	20
5	18089	59
7	29478	122
9	46391	249
11	73123	397
13	113886	598
15	177098	933
17	274879	1437
19	423189	2268
21	648515	3512
23	979242	5485
25	1455767	8558
27	2118231	12900
29	2997038	19240
31	4098054	27914
33	5389058	39588
35	6791496	54759
37	8197291	73590
39	9482443	95881
41	10532307	120979
43	11262210	148468
45	11630616	177229
47	11644806	206388
49	11341401	235200
51	10783170	262808
56	8766432	324358
61	6587323	372325
66	4732119	407281
71	3315233	432140
76	2293670	449624
81	1575424	461643
86	1074911	469705
91	733265	475229
96	498969	479013
101	338818	481648
121	72346	486020
141	15441	486899
161	3299	487084
181	733	487125
201	173	487137
221	32	487138
241	7	487138
261	1	487138
281	1	487138
301	1	487138
321	0	487138
341	0	487138
361	0	487138
381	0	487138
401	0	487138
421	0	487138
441	0	487138
461	0	487138
481	0	487138
501	0	487138
521	0	487138
541	0	487138
561	0	487138
581	0	487138
