time	subjects	deaths
1	18540	13
3	1723472	1144
5	7514555	12801
7	10408740	35942
9	11207859	62935
11	11005505	91022
13	10392046	117931
15	9667609	142919
17	8947201	166269
19	8274708	187859
21	7648739	207882
23	7068934	226325
25	6536558	243498
27	6054316	259342
29	5617771	273890
31	5222888	287602
33	4866182	300289
35	4541723	312026
37	4246801	322997
39	3980511	333252
41	3735930	342711
43	3511931	351763
45	3304998	360183
47	3115036	368230
49	2940034	375833
51	2775092	382962
56	2413489	399202
61	2112209	413340
66	1858878	425679
71	1639345	436873
76	1448681	446532
81	1282334	455131
86	1139774	462721
91	1013235	469384
96	901475	475416
101	803384	480728
121	508998	497031
141	326164	507237
161	210739	513884
181	136607	518241
201	88692	521009
221	57832	522791
241	38191	523997
261	25402	524770
281	16477	525263
301	10983	525584
321	6841	525833
341	4336	525964
361	2737	526061
381	1671	526104
401	1060	526144
421	661	526161
441	449	526170
461	351	526174
481	207	526183
501	125	526184
521	116	526187
541	82	526188
561	36	526188
581	22	526190
