time	subjects	deaths
1	37704	18
3	7224410	5030
5	18494998	39464
7	22209500	91541
9	22209066	147331
11	20564211	200718
13	18312269	249636
15	15956750	293071
17	13739184	330026
19	11738549	361686
21	9982757	388726
23	8466728	411766
25	7168446	431353
27	6062822	447770
29	5124115	461699
31	4330492	473567
33	3659798	483477
35	3090207	491824
37	2608757	499043
39	2203147	504970
41	1860562	510069
43	1571873	514363
45	1326896	518058
47	1120454	521123
49	946175	523649
51	799001	525909
56	523613	529915
61	343030	532583
66	224452	534388
71	147170	535568
76	96429	536368
81	63319	536836
86	41605	537122
91	27212	537356
96	17725	537483
101	11667	537588
121	2138	537715
141	405	537741
161	72	537747
181	11	537748
201	2	537748
221	0	537748
241	0	537748
261	0	537748
281	0	537748
301	0	537748
321	0	537748
341	0	537748
361	0	537748
381	0	537748
401	0	537748
421	0	537748
441	0	537748
461	0	537748
481	0	537748
501	0	537748
521	0	537748
541	0	537748
561	0	537748
581	0	537748
