time	subjects	deaths
1	4761	6
3	10460	32
5	18095	59
7	29047	117
9	44599	211
11	67149	341
13	100690	556
15	150122	863
17	222139	1332
19	325305	2029
21	471336	3002
23	670995	4383
25	935456	6352
27	1272932	9118
29	1680835	12846
31	2148522	17626
33	2654222	23665
35	3169348	31022
37	3659163	39499
39	4094831	49128
41	4445500	59998
43	4700515	71493
45	4853505	83418
47	4911302	95793
49	4883597	107992
51	4785242	119879
56	4343594	148611
61	3800262	174117
66	3272254	196405
71	2813332	215446
76	2432859	231723
81	2119708	245777
86	1859599	258281
91	1642849	269267
96	1459354	278977
101	1301700	287541
121	846456	314248
141	558785	331706
161	366204	343219
181	241141	350596
201	160295	355522
221	106293	358894
241	70187	361024
261	45669	362465
281	29523	363304
301	19650	363879
321	13171	364291
341	8724	364546
361	5503	364723
381	3620	364831
401	2302	364907
421	1546	364965
441	960	364991
461	548	365009
481	350	365019
501	186	365025
521	157	365028
541	140	365031
561	96	365036
581	68	365037
