time	subjects	deaths
1	4494	2
3	7944	31
5	10716	49
7	12926	94
9	14965	119
11	16954	157
13	18656	215
15	20528	264
17	22386	307
19	24381	363
21	26452	432
23	28491	513
25	30549	599
27	32921	667
29	35437	764
31	38072	860
33	40935	946
35	43959	1051
37	47168	1180
39	50789	1302
41	54733	1436
43	58863	1588
45	63369	1750
47	68070	1885
49	73049	2065
51	78557	2243
56	94597	2803
61	113277	3437
66	133950	4165
71	159509	5047
76	189563	6149
81	224344	7413
86	264050	8871
91	309482	10680
96	359865	12761
101	414148	15195
121	679361	28679
141	966907	49490
161	1176994	76747
181	1225469	107044
201	1082535	136470
221	826253	160520
241	557667	178037
261	345657	189239
281	202550	195977
301	114099	199785
321	63000	201926
341	34225	203202
361	18571	203833
381	10028	204167
401	5422	204340
421	2981	204444
441	1592	204492
461	857	204519
481	503	204536
501	297	204545
521	134	204553
541	80	204557
561	55	204558
581	22	204560
