time	subjects	deaths
1	7337	7
3	85089	75
5	908801	953
7	5610993	7873
9	13741685	32048
11	18661390	73371
13	19825020	122155
15	19009977	170790
17	17339085	216403
19	15389470	257191
21	13448792	293174
23	11644594	324644
25	10026741	352002
27	8607463	375297
29	7375025	395099
31	6315313	412245
33	5403893	427132
35	4626135	439621
37	3962989	450240
39	3397426	459559
41	2912916	467279
43	2500454	474080
45	2148496	480001
47	1847031	484979
49	1589415	489227
51	1369715	492874
56	947544	500097
61	659705	505055
66	462284	508596
71	325353	511084
76	230035	512742
81	163780	513965
86	117252	514845
91	83923	515507
96	60334	515960
101	43583	516265
121	12288	516886
141	3596	517060
161	1116	517115
181	370	517127
201	89	517132
221	26	517133
241	5	517133
261	1	517133
281	0	517133
301	0	517133
321	0	517133
341	0	517133
361	0	517133
381	0	517133
401	0	517133
421	0	517133
441	0	517133
461	0	517133
481	0	517133
501	0	517133
521	0	517133
541	0	517133
561	0	517133
581	0	517133
