time	subjects	deaths
1	4445	1
3	6570	18
5	7218	37
7	7044	61
9	6592	80
11	6048	95
13	5404	110
15	4770	122
17	4237	135
19	3733	148
21	3300	163
23	2993	173
25	2721	180
27	2492	189
29	2336	191
31	2188	195
33	2035	203
35	1993	207
37	1943	212
39	1954	215
41	1987	218
43	2006	226
45	2043	238
47	2136	239
49	2232	242
51	2388	248
56	2880	264
61	3458	291
66	4207	319
71	5242	352
76	6495	381
81	8049	422
86	10177	468
91	12626	529
96	15795	614
101	19572	715
121	40217	1476
141	62293	2704
161	72810	4421
181	65267	6147
201	50655	7622
221	38046	8709
241	27583	9523
261	20402	10124
281	15541	10564
301	12101	10893
321	9679	11156
341	7953	11377
361	6777	11567
381	6079	11715
401	5222	11872
421	4936	11997
441	4388	12113
461	4109	12210
481	4092	12319
501	4040	12427
521	4216	12517
541	4290	12631
561	4339	12751
581	4374	12865
