time	subjects	deaths
1	4786	3
3	10406	32
5	17509	64
7	27700	119
9	42520	210
11	64431	321
13	97229	508
15	145791	802
17	218019	1239
19	323097	1887
21	476147	2856
23	692287	4331
25	991303	6447
27	1388919	9439
29	1900567	13487
31	2525673	18969
33	3246147	26094
35	4031596	35222
37	4823993	46381
39	5571798	59501
41	6223488	74271
43	6736074	90716
45	7087641	107946
47	7268880	125723
49	7291332	144105
51	7172711	162199
56	6435031	204587
61	5401143	241551
66	4363982	271831
71	3454552	296043
76	2711257	315399
81	2122206	330338
86	1664802	342084
91	1311494	351265
96	1036604	358596
101	824014	364369
121	340332	377962
141	146384	383812
161	64486	386348
181	28680	387396
201	12833	387891
221	5984	388140
241	2775	388247
261	1169	388291
281	608	388309
301	315	388318
321	139	388322
341	57	388324
361	32	388324
381	19	388325
401	7	388325
421	5	388325
441	2	388326
461	2	388326
481	0	388326
501	0	388326
521	0	388326
541	0	388326
561	0	388326
581	0	388326
