time	subjects	deaths
1	6175	4
3	39362	59
5	240763	351
7	1353493	1944
9	5464536	9702
11	12769186	32144
13	18815132	72375
15	21169453	122877
17	20817545	175553
19	19147460	225769
21	16994570	270929
23	14782633	310819
25	12714165	345413
27	10854279	374744
29	9229228	399798
31	7826550	421027
33	6625542	438978
35	5602914	454210
37	4736040	466955
39	4004133	477764
41	3382579	486987
43	2856196	494871
45	2411712	501476
47	2035792	507010
49	1719719	511736
51	1452539	515630
56	951604	523084
61	623899	527901
66	409228	531157
71	268016	533260
76	175738	534668
81	115031	535593
86	75430	536161
91	49581	536542
96	32526	536784
101	21278	536975
121	4002	537228
141	740	537271
161	125	537281
181	15	537285
201	3	537285
221	1	537285
241	0	537285
261	0	537285
281	0	537285
301	0	537285
321	0	537285
341	0	537285
361	0	537285
381	0	537285
401	0	537285
421	0	537285
441	0	537285
461	0	537285
481	0	537285
501	0	537285
521	0	537285
541	0	537285
561	0	537285
581	0	537285
