time	subjects	deaths
1	4486	4
3	7034	17
5	8415	36
7	9617	54
9	11564	78
11	15637	110
13	24830	163
15	45409	227
17	88809	385
19	173127	719
21	312806	1265
23	498423	2278
25	693300	3760
27	867369	5720
29	1008080	8091
31	1110196	10717
33	1169862	13461
35	1184654	16313
37	1162008	19309
39	1109991	22200
41	1040914	24859
43	961014	27409
45	879033	29639
47	799421	31814
49	723993	33751
51	653990	35426
56	508180	39080
61	395430	41962
66	312177	44164
71	249687	45918
76	202539	47303
81	166854	48485
86	140400	49537
91	121146	50395
96	107734	51092
101	98854	51729
121	102049	54183
141	140160	57204
161	164898	61094
181	145430	65057
201	103450	68210
221	65696	70283
241	39188	71526
261	23085	72290
281	13354	72699
301	7880	72975
321	4570	73103
341	2614	73203
361	1562	73253
381	966	73274
401	670	73297
421	379	73307
441	213	73316
461	106	73321
481	89	73323
501	44	73323
521	33	73323
541	30	73325
561	9	73326
581	2	73326
